@title,2014年 全日本予選
@link,http://www.jpn-gym.or.jp/wp-content/uploads/2014/05/14a_nai_m1.pdf
内村 航平,コナミ,15.900,15.200,14.850,14.350,15.000,15.600
野々村 笙吾,順天堂大学,15.200,15.250,14.950,14.750,15.050,15.150
神本 雄也,日本体育大学,14.950,13.850,14.650,14.650,15.400,15.100
加藤 凌平,順天堂大学,15.200,14.550,14.850,14.650,15.300,14.000
武田 一志,日本体育大学,14.800,14.250,14.950,14.250,14.950,14.800
齊藤 優佑,徳洲会体操ｸﾗﾌﾞ,14.250,14.300,14.150,15.300,14.750,15.150
山本 雅賢,徳洲会体操ｸﾗﾌﾞ,14.500,14.600,14.650,14.450,14.600,14.900
千葉 健太,清風高等学校,15.200,14.900,13.900,14.600,14.750,14.150
今林 開人,順天堂大学,14.750,14.400,14.300,14.850,14.350,14.650
岡 準平,日本体育大学,15.200,14.550,14.500,14.750,13.450,14.800
沖口 誠,コナミ,15.000,14.050,14.150,14.550,14.550,14.750
長谷川 智将,日本体育大学,14.550,15.100,14.100,14.000,14.350,14.900
田中 佑典,コナミ,15.200,12.600,14.650,13.850,15.700,14.850
横山 聖,日本体育大学,14.100,14.400,14.300,14.100,15.350,14.350
植松 鉱治,コナミ,14.850,13.300,14.200,14.150,14.650,15.400
萱 和磨,習志野市立習志野高等学校,14.650,14.500,13.550,13.950,15.050,14.700
石川 大貴,順天堂大学,14.200,14.200,13.900,13.950,14.950,15.200
山室 光史,コナミ,13.750,14.500,15.350,14.950,13.750,14.050
金子 健三,順天堂大学,14.450,14.150,14.350,14.750,14.950,13.650
白井 健三,県立岸根高等学校,15.600,13.300,13.800,14.900,14.450,14.100
山本 翔一,朝日生命,14.950,13.550,14.250,13.850,15.050,14.350
柴田 快輝,順天堂大学,14.550,14.200,13.850,14.150,14.900,14.350
瀬島 龍三,徳洲会体操ｸﾗﾌﾞ,14.950,13.700,14.550,13.750,15.100,13.850
田浦 誠也,日本体育大学,14.500,14.200,13.450,14.650,14.700,14.350
白井 勝太郎,コナミ,15.250,13.850,14.550,14.700,14.550,12.800
吉岡 知紘,セントラルスポーツ,14.850,14.150,14.050,13.050,14.650,14.900
垣谷 拓斗,セントラルスポーツ,14.200,14.900,14.050,14.000,13.850,14.200
井村 太祐,和歌山県体操協会,14.100,13.950,14.350,13.900,14.400,14.300
長野 託也,日本大学,14.950,12.150,15.050,14.450,14.150,14.200
小山 仁寛,鹿屋体育大学,14.650,12.900,14.350,14.450,14.600,14.000
藤原 昇平,早稲田大学,14.300,13.600,14.150,14.350,14.400,14.000
谷川 航,船橋市立船橋高等学校,15.150,13.000,13.050,14.750,14.700,14.050
村上 雄人,仙台大学,14.650,13.050,14.250,13.850,14.600,14.250
渡邊 恭一,徳洲会体操ｸﾗﾌﾞ,14.450,12.550,14.100,13.750,14.950,14.800
大川 翔平,仙台大学,14.500,14.150,14.000,13.350,14.450,14.150
古谷 嘉章,仙台大学,14.000,14.100,14.250,14.150,14.600,13.450
池尻 俊弥,日本体育大学,14.850,12.250,14.200,14.300,14.900,13.800
宮地 秀亨,筑波大学,14.200,13.350,14.100,14.150,14.500,13.950
早坂 尚人,順天堂大学,15.400,12.600,13.650,14.400,14.700,13.050
榊原 颯太,筑波大学,13.950,13.250,14.000,14.900,14.400,13.250
田中 康久,相好体操クラブ,13.850,12.450,14.350,14.200,14.450,14.350
出口 諒財,徳洲会体操ｸﾗﾌﾞ,14.700,12.900,13.750,13.450,14.500,14.250
今井 裕之,コナミ,13.200,14.200,14.000,13.550,13.600,14.850
前野 風哉,船橋市立船橋高等学校,14.300,14.500,13.800,12.000,14.850,13.800
岩槻 万里,静岡産業大学,14.750,12.950,13.350,14.100,14.200,13.800
荒屋敷 響貴,鯖江高等学校,14.600,13.700,13.050,13.700,14.550,13.500
星野 力維,筑波大学,14.950,10.850,14.300,14.400,14.400,14.050
尾崎 亮介,相好体操クラブ,13.550,13.550,13.400,14.100,14.200,14.050
吉本 日月,仙台大学,13.600,13.750,13.200,13.750,14.350,14.100
佐藤 宏太,日体大体操クラブ,14.450,13.250,14.150,13.250,13.500,14.050
宗像 陸,相好体操クラブ,15.050,11.650,14.450,14.400,14.200,12.650
塚原 直也,朝日生命,13.600,12.700,13.950,14.000,14.300,13.700
寺尾 尚之,朝日生命,13.800,12.300,14.100,13.450,14.400,13.900
小林 研也,コナミ,12.950,10.500,15.000,13.900,15.200,14.250
楠川 雄太,和歌山県立田辺工業高等学校,14.450,12.550,13.650,13.450,14.200,13.300
小原 孝之,仙台大学,13.100,13.450,13.400,14.450,14.200,13.000
下田 悠太,相好体操クラブ,13.600,13.500,13.550,13.100,13.450,14.250
杉本 健太郎,仙台大学,14.350,12.700,13.800,13.600,14.750,12.150
亀山 耕平,徳洲会体操ｸﾗﾌﾞ,14.350,13.100,13.400,13.900,13.950,12.300
岡村 康宏,朝日生命,11.900,13.550,14.050,13.800,13.600,14.050
佐藤 亘,相好体操クラブ,13.050,13.550,14.450,13.700,12.650,12.850
奥野 岳史,日本体育大学,14.550,12.700,12.100,13.000,13.950,13.700
山川 瑠都,埼玉栄高等学校,14.400,12.750,12.400,14.450,13.650,12.150
倉島 大地,船橋市立船橋高等学校,13.700,13.700,12.950,13.650,13.400,12.350
山崎 塁,朝日生命,13.950,11.200,12.600,13.700,13.100,14.500
小宮 修雅,埼玉栄高等学校,14.050,10.500,11.950,13.600,14.150,13.750
古賀 裕将,相好体操クラブ,13.950,12.450,13.850,12.950,13.750,10.900
立石 卓也,関西高等学校,13.900,12.100,11.800,13.650,12.700,13.700
富田 幸樹,相好体操クラブ,14.500,11.850,10.700,12.750,13.550,12.800
岩佐 亮,鯖江高等学校,13.550,0.000,13.650,13.800,14.200,12.300
髙橋 一矢,中京高等学校,0.000,10.650,13.350,0.000,13.800,0.000
